id,商品条形码,商品名称,品牌,具体产品,单位,口味,规格,标签
21,8851019010267,45g格力高Pocky奶油曲奇涂层饼干,格力高,格力高Pocky草莓味涂层饼干,盒装,草莓味,45g,glg-glgPockycmwtcbg-hz-cmw-45g
22,8961003010316,108g露怡焦糖味酥性饼干,露怡,露怡酥性饼干,盒装,焦糖味,108g,ly-lysxbg-hz-jtw-108g
23,8961003010217,84g露怡TUC咸脆饼干,露怡TUC,露怡TUC咸脆饼干,盒装,原味,84g,lyTUC-lyTUCwcbg-hz-yw-84g
24,4710035330169,45g森永多乐福水果硬糖（混合水果味）,森永多乐福,森永多乐福水果硬糖,罐装,混合水果味,45g,sydlf-sydlgsgyt-gz-hhsgw-45g
25,9556023985578,60g杰克薯片（原味）,杰克,杰克薯片,罐装,原味,60g,jk-jksp-gz-yw-60g
26,9556023652142,60g杰克薯片（香辣味）,杰克,杰克薯片,罐装,香辣味,60g,jk-jksp-gz-xlw-60g
27,8936137560501,200g黄龙绿豆糕,黄龙,黄龙绿豆糕,盒装,原味,200g,hl-hlldg-hz-yw-200g
28,8993083932936,80g河马莉牌巧克力味小熊造型夹心饼干,河马莉,河马莉小熊造型夹心饼干,盒装,巧克力味,80g,hml-hmlxxzxjxbg-hz-qklw-80g
29,4710873700216,500ml名屋水蜜桃汁饮料,名屋,名屋水蜜桃汁饮料,听装,原味,500ml,mw-mwsmtzyl-tz-yw-500ml
30,4710873700148,500ml名屋综合果汁饮料,名屋,名屋综合果汁饮料,听装,原味,500ml,mw-mwzhgzyl-tz-yw-500ml
31,4710873700209,500ml名屋芒果汁饮料,名屋,名屋芒果汁饮料,听装,原味,500ml,mw-mwmgzyl-tz-yw-500ml
32,4710873700230,500ml名屋葡萄果汁,名屋,名屋葡萄果汁,听装,原味,500ml,mw-mwptgz-tz-yw-500ml
33,8809022201035,35g汤姆农场蜂蜜黄油扁桃仁,汤姆农场,汤姆农场蜂蜜黄油扁桃仁,袋装,原味,35g,tmnc-tmncfmhybtr-dz-yw-35g
34,4710199085509,100g维力张君雅小妹妹碳烤鸡汁点心面,维力,维力张君雅小妹妹碳烤鸡汁点心面,袋装,原味,100g,wl-wlzjyxmmtkjzdxm-dz-yw-100g
35,8801019311932,121g海太ACE饼干,海太,海太ACE饼干,盒装,原味,121g,ht-htACEbg-hz-yw-121g
36,838452005164,75g健仕动物形饼干,健仕,健仕动物形饼干,盒装,原味,75g,js-jsdwxbg-hz-yw-75g
37,8851019010465,44g格力高pejoy巧克力味注心饼干,格力高,格力高pejoy注心饼干,盒装,巧克力味,44g,glg-glgpejoyzxbg-hz-qklw-44g
38,8936068230924,50g榙榙芒果干,榙榙,榙榙芒果干,袋装,原味,50g,tt-ttmgg-dz-yw-50g
39,8936068230948,50g榙榙黄桃干,榙榙,榙榙黄桃干,袋装,原味,50g,tt-tthtg-dz-yw-50g
40,8855044019745,290mlNit@奇亚籽草莓汁饮料,Nit,Nit奇亚籽草莓汁饮料,瓶装,原味,290ml,Nit-Nitqyzcmzyl-pz-yw-290ml
41,8855044019776,290mlNit@奇亚籽百香果汁饮料,Nit,Nit奇亚籽百香果汁饮料,瓶装,原味,290ml,Nit-Nitqyzbxgzyl-pz-yw-290ml
42,8855044019752,290mlNit@奇亚籽芒果汁饮料,Nit,Nit奇亚籽芒果汁饮料,瓶装,原味,290ml,Nit-Nitqyzmgzyl-pz-yw-290ml
43,8855044018212,290mlNit@奇亚籽荔枝汁饮料,Nit,Nit奇亚籽荔枝汁饮料,瓶装,原味,290ml,Nit-Nitqyzlzzyl-pz-yw-290ml
44,4710944702026,30g雪天果蜂蜜柠檬味软喉糖-老虎头（台湾统一制果）,雪天果,雪天果蜂蜜柠檬味老虎头软喉糖,袋装,原味,30g,xtg-xtgfmnmwlhtrht-dz-yw-30g
45,4710944702002,30g雪天果枇杷味软喉糖-公鸡头（台湾统一制果）,雪天果,雪天果枇杷味公鸡头软喉糖,袋装,原味,30g,xtg-xtgppwjgtrht-dz-yw-30g
46,8855044004628,290ml乐可芬椰子汁饮料（含椰果）（原味）,乐可芬,乐可芬椰子汁饮料,瓶装,原味,290ml,lkf-lkfyzzyl-pz-yw-290ml
47,8855044006684,290ml乐可芬芒果味椰子汁饮料（含椰果）,乐可芬,乐可芬芒果味椰子汁饮料,瓶装,原味,290ml,lkf-lkfyzzyl-pz-mangguow-290ml
48,8855044006691,290ml乐可芬木瓜味椰子汁饮料（含椰果）,乐可芬,乐可芬木瓜味椰子汁饮料,瓶装,原味,290ml,lkf-lkfyzzyl-pz-muguaw-290ml
49,8936094346071,75g榙榙综合蔬果干,榙榙,榙榙综合蔬果干,袋装,原味,75g,tt-ttzhsgg-dz-yw-75g
50,9556023210229,60g杰克袋装薯片-烧烤味,杰克,杰克袋装薯片,袋装,烧烤味,60g,jk-jkdzsp-dz-skw-60g
51,9556023210212,60g杰克袋装薯片-原味,杰克,杰克袋装薯片,袋装,原味,60g,jk-jkdzsp-dz-yw-60g
52,8809424900932,5g*3迪士尼传统海苔,七福屋,七福屋迪士尼传统海苔,袋装,原味,15g,qfw-qfwdsnctht-dz-yw-15g
53,4712782568109,80g榙榙咸鸭蛋黄饼干,榙榙,榙榙咸鸭蛋黄饼干,盒装,原味,80g,tt-ttxydhbg-hz-yw-80g
54,8801074256568,36g客唻美奶酪鳕鱼饼（原味）,客唻美,客唻美奶酪鳕鱼饼,条装,原味,36g,klm-klmnnxyb-tz-yw-36g
55,8801074001649,36g客唻美奶酪鳕鱼饼（虾味）,客唻美,客唻美奶酪鳕鱼饼,条装,虾味,36g,klm-klmnnxyb-tz-xw-36g
56,8801074001656,36g客唻美奶酪鳕鱼饼（蟹味）,客唻美,客唻美奶酪鳕鱼饼,条装,蟹味,36g,klm-klmnnxyb-tz-xiewei-36g
57,9556218128179,120g伦敦奶酪奶油味心形蛋糕,伦敦,伦敦奶酪奶油味心形蛋糕,盒装,奶酪奶油味,120g,ld-ldnnnywxxdg-hz-nnnyw-120g
58,9556218128186,120g伦敦牛奶味心形蛋糕,伦敦,伦敦牛奶味心形蛋糕,盒装,牛奶味,120g,ld-ldnnwxxdg-hz-nnw-120g
59,8938521254034,100g河马莉迷你蛋酥-特浓牛奶味,河马莉,河马莉迷你蛋酥,瓶装,特浓牛奶味,100g,hml-hmlmnds-pz-tnnnw-100g
60,8938521254041,100g河马莉迷你蛋酥-综合水果味,河马莉,河马莉迷你蛋酥,瓶装,综合水果味,100g,hml-hmlmnds-pz-zhsgw-100g
61,9556023222161,184gZESS杰思牌原味梳打饼干,ZESS杰思牌,ZESS杰思牌原味梳打饼干,袋装,原味,184g,ZESSjsp-ZESSjspywsdbg-dz-yw-184g
62,9556023223892,148gZESS杰思牌巧克力味饼干,ZESS杰思牌,ZESS杰思牌饼干,袋装,巧克力味,148g,ZESSjsp-ZESSjspbg-dz-qklw-148g
63,9556296300993,150g乐一百cocoalaland巧克力派,乐一百,乐一百cocoalaland巧克力派,袋装,原味,150g,lyb-lybcocoalalandqklp-dz-yw-150g
64,9556296313207,150g乐一百cocoalaland（黑色）巧克力派,乐一百,乐一百cocoalaland黑色巧克力派,袋装,原味,150g,lyb-lybcocoalalanhsdqklp-dz-yw-150g
65,9556296314464,150g乐一百cocoalaland巧克力派（草莓味）,乐一百,乐一百cocoalaland巧克力派,袋装,草莓味,150g,lyb-lybcocoalalandqklp-dz-cmw-150g
66,4897035711294,100g拉菲原味牛奶片-袋装,拉菲,拉菲原味牛奶片,袋装,原味,100g,lf-lfywnnp-dz-yw-100g
67,4711931012203,152g皇族和风花生夹心糯米饼,皇族,皇族和风花生夹心糯米饼,盒装,原味,152g,hz-hzhfhsjxnmb-hz-yw-152g
68,4711931012197,152g皇族和风芝麻夹心糯米饼,皇族,皇族和风芝麻夹心糯米饼,盒装,原味,152g,hz-hzhfzmjxnmb-hz-yw-152g
69,8993175537605,160g（20×8g）丽芝士雅嘉奶酪夹心玉米棒,丽芝士,丽芝士雅嘉奶酪夹心玉米棒,盒装,原味,160g,lzs-lzsyjnnjxymb-hz-yw-160g
70,77330170116,90g丹麦蓝罐曲奇,丹麦,丹麦蓝罐曲奇,盒装,原味,90g,dm-dmlgqq-hz-yw-90g
71,9556023220068,108g福多提拉米苏味蛋糕,福多,ls-lskssfqwsp-bz-kssfqw-70g,盒装,提拉米苏味,108g,fd-fdtlmswdg-hz-tlmsw-108g
72,4901620147129,49.7g可可味脆派（日清巧克力麦脆披萨）,可可味脆派,可可味脆派日清巧克力麦脆披萨,盒装,原味,49.7g,kkwcp-kkwcprqqklmcps-hz-yw-49.7g
73,9556023223687,144gZESS杰思牌柠檬味夹心饼干（方形）,ZESS杰思牌,ZESS杰思牌夹心饼干,盒装,柠檬味,144g,ZESSjsp-ZESSjspjxbg-hz-nmw-144g
74,9556023223328,156.8gZESS杰思牌香草巧克力味夹心饼干,ZESS杰思牌,ZESS杰思牌夹心饼干,盒装,香草巧克力味,156.8g,ZESSjsp-ZESSjspjxbg-hz-xcqklw-156.8g
75,4711162821322,180g北田能量99棒蛋黄口味,北田,北田能量99棒,袋装,蛋黄口味,180g,bt-btnl99b-dz-dhkw-180g
76,4895058314287,150gEDO.pack巨浪大切薯片-香辣味,EDO,EDOpack巨浪大切薯片,罐装,香辣味,150g,EDO-EDOpackjldqsp-gz-xlw-150g
77,4895058314508,150gEDO.pack巨浪大切薯片-原味,EDO,EDOpack巨浪大切薯片,罐装,原味,150g,EDO-EDOpackjldqsp-gz-yw-150g
78,4903316430805,110g理本生梅怡糖,理本,理本生梅怡糖,袋装,原味,110g,lb-lbsmyt-dz-yw-110g
79,8858702410823,27g老板仔紫菜卷-原味,老板仔,老板仔紫菜卷,盒装,原味,27g,lbz-lbzzcj-hz-yw-27g
80,9555280603119,132g新乐记牌猫山王榴莲饼（热加工糕点）,新乐记,新乐记牌猫山王榴莲饼,袋装,原味,132g,xlj-xljpmswllb-dz-yw-132g
81,8801019606540,60g海太蜂蜜黄油薯片,海太,海太蜂蜜黄油薯片,袋装,原味,60g,ht-htfmhysp-dz-yw-60g
82,4901830351705,90g三立白巧克力味夹心饼干,三立,三立白巧克力味夹心饼干,盒装,白巧克力味,90g,sl-slbqklwxjbg-hz-bqklw-90g
83,4719684105333,180g昇田咸蛋麦芽饼,昇田,昇田咸蛋麦芽饼,袋装,原味,180g,st-stxdmyb-dz-yw-180g
84,4895058312139,154gEDO.pack凤梨酥,EDOpack,EDOpack凤梨酥,盒装,原味,154g,EDOpack-EDOpackfls-hz-yw-154g
85,4895058313075,154gEDO.pack芒果酥,EDOpack,EDOpack芒果酥,盒装,原味,154g,EDOpack-EDOpackmgs-hz-yw-154g
86,8852023664101,230g大哥牌香脆日本芥末花生豆,大哥牌,大哥牌香脆日本芥末花生豆,罐装,原味,230g,dgp-dgpxcrbjmhsd-gz-yw-230g
87,8852023665511,230g大哥牌烧烤味花生豆,大哥牌,大哥牌烧烤味花生豆,罐装,烧烤味,230g,dgp-dgpskwhsd-gz-skw-230g
88,4711155314312,130g品味本铺牛奶口味蛋酥-蛋型,品味本铺,品味本铺牛奶口味蛋酥蛋型,罐装,牛奶口味,130g,pwbp-pwbpnnkfdssx-gz-nnkw-130g
89,4712883741296,260g新巧风手工牛轧糖（原味）,新巧风,新巧风手工牛轧糖,袋装,原味,260g,xqf-xqfsgnzt-dz-yw-260g
90,9331275008288,150g瑞丹多牌威化卷心酥(巧克力味),瑞丹多牌,瑞丹多牌威化卷心酥,罐装,巧克力味,150g,rddp-rddpwhjxs-gz-qklw-150g
91,8809260943360,ls-lskssfqwsp-bz-kssfqw-70g,三进三进黑X5,三进三进黑X5夹心巧克力棒,盒装,原味,144g,ajsjhX5-ajsjhX5jxqklb-hz-yw-144g
92,8809260944787,144g三进x-5花生香蕉巧克力棒（4支装）,三进X5,三进x5花生香蕉巧克力棒,盒装,原味,144g,sjX5-sjX5hsxjqklb-hz-yw-144g
93,8801019312878,108g海太烤薯棒饼干,海太,海太烤薯棒饼干,罐装,原味,108g,ht-htksbbg-gz-yw-108g
94,8809260944770,144g三进X-5花生巧克力棒（4支装）,三进X5,三进X5花生巧克力棒,盒装,原味,144g,sjX5-sjX5hsqklb-hz-yw-144g
95,6924743919259,乐事70g黄瓜味,乐事,乐事黄瓜味,袋装,黄瓜味,70g,ls-lshgw-dz-hgw-70g
96,6924743919778,乐事大波浪薯片（碳烤五花肉味）40g,乐事,乐事大波浪薯片,袋装,碳烤五花肉味,40g,ls-lsdblsp-dz-tkwhrw-40g
97,6924743921948,乐事大波浪薯片（真浓番茄味）40g,乐事,乐事大波浪薯片,袋装,真浓番茄味,40g,ls-lsdblsp-dz-znfqw-40g
98,6926475202357,喜之郎7.5g美好时光海苔原味,喜之郎,喜之郎美好时光海苔,袋装,原味,7.5g,xzl-xzlmhsght-dz-yw-7.5g
99,6926475203705,喜之郎7.5g美好时光海苔（番茄）,喜之郎,喜之郎美好时光海苔,袋装,番茄味,7.5g,xzl-xzlmhsght-dz-fxw-7.5g
100,6930763710226,粤秀60g牛肉干(沙嗲),粤秀,粤秀牛肉干,包装,沙嗲味,60g,yx-yxnrg-bz-sdw-60g
101,6930763710233,粤秀60g牛肉干(麻辣),粤秀,粤秀牛肉干,包装,麻辣味,60g,yx-yxnrg-bz-mlw-60g
102,6933066001312,乖媳妇120g山椒凤爪,乖媳妇,乖媳妇山椒凤爪,包装,原味,120g,gxf-gxfsjfz-bz-yw-120g
103,6933311066028,傻二哥30g兰花豆（五香味）,傻二哥,傻二哥五香味兰花豆,包装,五香味,30g,seg-segwxwlhd-bz-wxw-30g
104,6933311066424,傻二哥30g多味花生（五香味）,傻二哥,傻二哥多味花生,袋装,五香味,30g,seg-segdwhs-dz-wxw-30g
105,6933311067414,傻二哥75g南乳花生（原香味）,傻二哥,傻二哥南乳花生,袋装,原香味,75g,seg-segnrhs-dz-yxw-75g
106,6933311067438,傻二哥75g南乳花生（蒜香味）,傻二哥,傻二哥南乳花生,袋装,蒜香味,75g,seg-segnrhs-dz-sxw-75g
107,6935041525387,旺仔125g小馒头（经典原味）,旺仔,旺仔小馒头,包装,经典原味,125g,wz-wzxmt-bz-jdyw-125g
108,6935284499995,卫龙102g卫龙面筋,卫龙,卫龙面筋,袋装,原味,102g,wl-wlmj-dz-yw-102g
109,6936436912317,杨锝48g碳烧鱿鱼丝,杨锝,杨锝碳烧鱿鱼丝,包装,原味,48g,yd-ydtsyys-bz-yw-48g
110,6936436912331,杨锝68g原味鱿鱼丝,杨锝,杨锝原味鱿鱼丝,包装,原味,68g,yd-ydywyys-bz-yw-68g
111,6944215406810,永利佳140g乌梅干（红色）,永利佳,永利佳乌梅干,包装,原味,140g,ylj-yljwmg-bz-yw-140g
112,6944215406889,永利佳115g蜂蜜话梅（红色）,永利佳,永利佳蜂蜜话梅,包装,原味,115g,ylj-yljfmhm-bz-yw-115g
113,6944215409439,永利佳190g九制榄,永利佳,永利佳九制榄,包装,原味,190g,ylj-yljjzl-bz-yw-190g
114,6944215409446,永利佳140g冰糖杨梅,永利佳,永利佳冰糖杨梅,包装,原味,140g,ylj-yljbtym-bz-yw-140g
115,6944215409460,永利佳170g相思梅,永利佳,永利佳相思梅,包装,原味,170g,ylj-yjlxsm-bz-yw-170g
116,6950520301450,欢享70g炭烧猪肉脯（黑椒味）,欢享,欢享炭烧猪肉脯,包装,黑椒味,70g,hx-hxtszrf-bz-hjw-70g
117,6970482440844,小安喂130g素烧烤羊肉味,小安喂,小安喂素烧烤羊肉味,包装,原味,130g,xaw-xawsskyrw-bz-yw-130g
118,6970482440875,小安喂130g素红烧牛肉味,小安喂,小安喂素红烧牛肉味,包装,原味,130g,xaw-zwashsnrw-bz-yw-130g
119,6970482441278,小安喂80g山椒豆干,小安喂,小安喂山椒豆干,包装,原味,80g,xaw-xawsjdg-bz-yw-80g
120,6901010117440,健力宝橙味560ML,健力宝,健力宝橙味,瓶装,橙味,560ml,jlb-jlbcw-pz-cw-560ml
121,6923644266066,蒙牛特仑苏纯牛奶250ml,蒙牛,蒙牛特仑苏纯牛奶,盒装,原味,250ml,mn-mntlscnn-hz-yw-250ml
122,6921168504015,尖叫多肽运动装蓝色550ml,农夫山泉,农夫山泉尖叫多肽运动装蓝色,瓶装,原味,550ml,nfsq-nfsqjjdtydzls-pz-yw-550ml
123,6934024590268,佳得乐运动饮料橙味600ml,佳得乐,佳得乐运动饮料,瓶装,橙味,600ml,jdl-jdlydyl-pz-cw-600ml
124,6901035601870,青岛纯生罐装500ml,青岛,青岛纯生,罐装,原味,500ml,qd-qdcs-gz-yw-500ml
125,6916058680566,百威罐装500ml,百威,百威啤酒罐装,罐装,原味,500ml,bw-bwpjgz-gz-yw-500ml
126,721031940102,珠江纯生500ml,珠江,珠江纯生罐装,罐装,原味,500ml,zj-zjcsgz-gz-yw-500ml
127,6948960100993,哈尔滨罐装500ml,哈尔滨,哈尔滨罐装,罐装,原味,500ml,heb-hebgz-gz-yw-500ml
128,4713120770024,雪球饼干-草莓巧克力,雪球饼干,草莓巧克力雪球饼干,盒装,原味,140ml,xqbg-cmqklxqbg-hz-yw-140ml
129,4713120770529,雪球饼干-玉米浓汤,雪球饼干,玉米浓汤雪球饼干,盒装,原味,115g,xqbg-ymntxqbg-hz-yw-115g
130,4713120770734,京条酥饼-凤梨酥口味饼干,京条酥饼,京条酥饼凤梨酥口味,盒装,凤梨酥口味,170g,jtsb-jtsbflskw-hz-flskw-170g
131,4713120770680,京条酥饼-咸蛋黄口味饼干,京条酥饼,京条酥饼咸蛋黄口味,盒装,咸蛋黄口味,170g,jtsb-jtsbxdhkw-hz-xdhkw-170g
132,4713120770796,京条酥饼-台湾咖啡口味饼干,京条酥饼,京条酥饼台湾咖啡口味,盒装,台湾咖啡口味,170g,jtsb-jtsbtwkfkw-hz-btwkfkw-170g
133,6901668004772,卡夫95g巧轻脆柠檬芝士蛋糕味,卡夫,卡夫奥利奥巧轻脆,盒装,柠檬芝士蛋糕味,95g,kf-kfalaxqc-hz-nmzsdgw-95g
134,6901668005717,卡夫116g奥利奥原味夹心,卡夫,卡夫奥利奥原味夹心,盒装,原味夹心,116g,kf-kfalaywjx-hz-ywjx-116g
135,6901668005915,卡夫97g奥利奥缤纷双果味（蓝梅+树梅）,卡夫,卡夫奥利奥缤纷双果味,盒装,蓝莓树莓味,97g,kf-kfalabfsgw-hz-lmsmw-97g
136,6901668200013,卡夫100g太平梳打饼干（奶盐味）,卡夫,卡夫太平梳打饼干,包装,奶盐味,100g,kf-kftpsdbg-bz-nyw-100g
137,6901668200235,卡夫100g太平梳打饼干（香葱味）,卡夫,卡夫太平梳打饼干,包装,香葱味,100g,kf-kftpsdbg-bz-xcw-100g
138,6901845040692,百醇48g牛奶味注心饼,百醇,百醇注心饼干,盒装,牛奶味,48g,bc-bczxbg-hz-nnw-48g
139,6901845041682,百力滋45g双层抹茶香草味,格力高,格力高百力滋,盒装,双层抹茶香草味,45g,glg-glgblz-hz-scmcxcw-45g
140,6911988000682,达利园250g（10枚）注心草莓派,达利园,达利园注心草莓派,包装,原味,250g,dly-dlyzxcmp-bz-yw-250g
141,6911988011596,达利园160g（8枚）法式小面包,达利园,达利园法式小面包,包装,香奶味,160g,dly-dlyfsxmb-bz-xnw-160g
142,6911988013538,达利园160g(20g*8枚)瑞士卷(草莓味),达利园,达利园瑞士卷,包装,草莓味,160g,dly-dlyrsj-bz-cmw-160g
143,6911988013569,达利园160g(20g*8枚)瑞士卷(香蕉味),达利园,达利园瑞士卷,包装,香蕉味,160g,dly-dlyrsj-bz-xjw-160g
144,6920907801729,好丽友180g可可派6P,好丽友,好丽友可可派,盒装,原味,180g,hly-hlykkp-hz-yw-180g
145,6920907808551,好丽友40g呀土豆（牛排味）,好丽友,好丽友呀土豆,包装,牛排味,40g,hly-hlyytd-bz-npw-40g
146,6920907808599,好丽友40g呀土豆（烤鸡味）,好丽友,好丽友呀土豆,包装,烤鸡味,40g,hly-hlyytd-bz-kjw-40g
147,6924160712686,无穷100g爱辣鸡爪,无穷,无穷爱辣鸡爪,包装,原味,100g,wq-wqaljz-bz-yw-100g
148,6924160712723,无穷70g盐焗鸡腿,无穷,无穷盐焗鸡腿,包装,原味,70g,wq-wqyjjt-bz-yw-70g
149,6924160712877,无穷60g爱辣鸡翅,无穷,无穷爱辣鸡翅,包装,原味,60g,wq-wqaljc-bz-yw-60g
150,6924160712907,无穷70g爱辣鸡腿,无穷,无穷爱辣鸡腿,包装,原味,70g,wq-wqaljt-bz-yw-70g
151,6924160714093,无穷60g烤鸡小腿（蜂蜜）,无穷,无穷烤鸡小腿,包装,蜂蜜味,60g,wq-wqkjxt-bz-fmw-60g
152,6924160714659,无穷100g爱辣鸡蛋,无穷,无穷爱辣鸡蛋,包装,原味,100g,wq-wqaljd-bz-yw-100g
153,6924160714673,无穷56g烤香鸡脖（爱辣味）,无穷,无穷烤香鸡脖,包装,爱辣味,56g,wq-wqkxjb-bz-alw-56g
154,6924160714734,无穷56g烤香鸡脖（微辣味）,无穷,无穷烤香鸡脖,包装,微辣味,56g,wq-wqkxjb-bz-wlw-56g
155,6924187821972,洽洽90g原香瓜子,洽洽,洽洽原香瓜子,包装,原味,90g,qq-qqyxgz-bz-yw-90g
156,6924187834781,洽洽110g香瓜子,洽洽,洽洽香瓜子,包装,原味,110g,qq-qqxgz-bz-yw-110g
157,6924187851160,洽洽108g焦糖瓜子,洽洽,洽洽焦糖瓜子,包装,原味,108g,qq-qqjtgz-bz-yw-108g
158,6924743918283,乐事40g无限忠于原味罐装,乐事,乐事无限忠于原味罐装,罐装,原味,40g,ls-lswxzyywgz-gz-yw-40g
159,6924743918290,乐事40g无限翡翠黄瓜味罐装,乐事,乐事无限翡翠黄瓜味罐装,罐装,翡翠黄瓜味,40g,ls-lswxfchgwgz-gz-fchgw-40g
160,6924743918306,乐事40g无限嗞嗞烤肉味罐装,乐事,乐事无限嗞嗞烤肉味罐装,罐装,滋滋烤肉味,40g,ls-lswxzzkrwgz-gz-zzkrw-40g
161,6924743919228,乐事70g得克萨斯番茄味,乐事,乐事克萨斯番茄味薯片,包装,克萨斯番茄味,70g,ls-lskssfqwsp-bz-kssfqw-70g
162,6921168532025,农夫果园30%混合果蔬饮料波芒500ml,农夫果园,农夫果园百分之三十混合果蔬饮料,瓶装,波芒,500ml,nfgy-nfgybfzsshhgsyl-pz-bmw-500ml
163,6921168532049,农夫果园30%混合果蔬饮料番莓500ml,农夫果园,农夫果园百分之三十混合果蔬饮料,瓶装,番莓味,500ml,nfgy-nfgybfzsshhgsyl-pz-fmw-500ml
164,6921168559077,农夫山泉打奶茶红茶（白）320ml,农夫山泉,农夫山泉打奶茶红茶,瓶装,原味,320ml,nfsq-nfsqdnchc-pz-yw-320ml
165,6921168559084,农夫山泉打奶茶抹茶（黑）320ml,农夫山泉,农夫山泉打奶茶抹茶,瓶装,原味,320ml,nfsq-nfsqdncmc-pz-yw-320ml
166,6921294305166,康师傅低糖绿茶500ml,康师傅,康师傅低糖绿茶,瓶装,蜂蜜茉莉味,500ml,ksf-ksdtlc-pz-fmmlw-500ml
167,6920907800944,好丽友204g（34g*6枚）好丽友派,好丽友,好丽友好丽友派,盒装,巧克力味,204g,hly-hlyhlyp-hz-qklw-204g
168,6920907803020,好丽友168gQ蒂6P,好丽友,好丽友Q蒂,盒装,摩卡巧克力味,168g,hly-hlyQd-hz-mkqklw-168g
169,6920907808032,好丽友33g好多鱼海苔味,好丽友,好丽友好多鱼,盒装,海苔味,33g,hly-hlyhdy-hz-htw-33g
170,6921168593637,农夫山泉果味水葡萄530ml,农夫山泉,农夫山泉果味水葡萄,瓶装,原味,500ml,nfsq-nfsqgwspt-pz-yw-500ml
171,6923450670965,绿箭口香糖,绿箭,绿箭口香糖,瓶装,原味,50g,lj-ljkxt-pz-yw-50g
172,6923450656860,益达口香糖,益达,益达口香糖,瓶装,香橙薄荷味,56g,yd-ydkxt-pz-xcbhw-56g
173,6923450657638,益达口香糖,益达,益达口香糖,瓶装,清爽西瓜味,56g,yd-ydkxt-pz-xsxgw-56g
174,6923450657188,益达口香糖,益达,益达口香糖,瓶装,清新西柚味,56g,yd-ydkxt-pz-qxxyw-56g
175,6925023803565,湘岳鱼豆腐,湘岳,湘岳鱼豆腐,包装,蟹香味,25g,xy-xyydf-bz-xxw-25g
176,8852014003056,小p厨金枪鱼派,小p厨,小p厨金枪鱼派,包装,咖喱味,20g,xpc-xpcjqyp-bz-glw-20g
