商品条形码,商品名称
8852690002930,40g苏梅SAMUI椰子脆片
9556345280016,60g妙妙鸡味香脆片
9556345007491,60g妙妙鱿鱼味卷
9556345008573,60g妙妙虾味香脆棒
8991102281416,115g明茨MintZ薄荷味软糖
8991102281430,115g明茨MintZ双重薄荷味软糖
8961003011733,84g露怡椰子味曲奇饼干
8851019010267,45g格力高Pocky奶油曲奇涂层饼干
8993175537445,58g丽芝士纳宝帝奶酪威化饼干
8994834004926,28g 印尼小鸡干脆面/点心面-香辣味
6901668004772,卡夫95g巧轻脆柠檬芝士蛋糕
6901668005717,卡夫116g奥利奥原味夹心
6901668005755,卡夫116g奥利奥巧克力夹心
6901668005915,卡夫97g奥利奥缤纷双果味（蓝梅+树梅）
6901668200013,卡夫100g太平梳打饼干（奶盐味）
6901668200235,卡夫100g太平梳打饼干（香葱味）
6901845010169,百奇60g巧克力味
6901845010176,百奇60g牛奶味
6901845040326,百力滋65g色拉味
6901845040357,百力滋65g微辣比萨味
6901845040692,百醇48g牛奶味注心饼
6901845041682,百力滋45g双层抹茶香草味
6901845042610,百力滋60g特浓番茄味
6902934990362,喜之郎200g什锦果肉杯
6911988000682,达利园250g（10枚）注心草莓派
6911988009760,达利园108g好吃点香脆杏仁饼
6911988009777,达利园108g好吃点香脆腰果饼
6911988011596,达利园160g（8枚）法式小面包
6911988013538,达利园160g(20g*8枚)瑞士卷(草莓味)
6911988013569,达利园160g(20g*8枚)瑞士卷(香蕉味)
6911988014832,达利园200g（10枚）法式软面包（香奶味）
6914973600089,德芙43g（榛仁）巧克力
6914973600171,德芙43g（奶香白）巧克力
6914973604049,德芙43g（榛仁巴旦木及葡萄)巧克力
6920548862035,旺仔23gQQ糖（菠萝味）
6920548862042,旺仔23gQQ糖(水蜜桃味)
6920907800210,好丽友138g蛋黄派6P
6920907800944,好丽友204g（34g*6枚）好丽友派
6920907801323,好丽友138g提拉米苏6P
6920907801729,好丽友180g可可派6P
6920907803020,好丽友168gQ蒂6P
6920907808032,好丽友33g好多鱼海苔味
6920907808513,好丽友40g呀土豆（番茄味）
6920907808551,好丽友40g呀土豆（牛排味）
6920907808599,好丽友40g呀土豆（烤鸡味）
6921482336088,旺仔60g黑白配香橙
6923450605240,箭牌12.4g绿箭无糖薄荷糖（薄荷味）
6923450656877,箭牌56g益达木糖醇（香橙薄荷味）
6923450657195,箭牌56g益达木糖醇（清新西柚味）
6923450657645,箭牌56g益达木糖醇（清爽西瓜味）
6923450670972,箭牌50g绿箭苹果薄荷味
6924160712686,无穷100g爱辣鸡爪
6924160712723,无穷70g盐焗鸡腿
6924160712877,无穷60g爱辣鸡翅
6924160712907,无穷70g爱辣鸡腿
6924160714093,无穷60g烤鸡小腿（蜂蜜）
6924160714109,无穷60g烤鸡小腿（香辣）
6924160714529,无穷100g盐焗鸡蛋
6924160714659,无穷100g爱辣鸡蛋
6924160714673,无穷56g烤香鸡脖（爱辣味）
6924160714734,无穷56g烤香鸡脖（微辣味）
6924187821972,洽洽90g原香瓜子
6924187834767,洽洽26g香瓜子
6924187834781,洽洽110g香瓜子
6924187851160,洽洽108g焦糖瓜子
6924187851184,洽洽108g核桃味瓜子
6924743918283,乐事40g无限忠于原味罐装
6924743918290,乐事40g无限翡翠黄瓜味罐装
6924743918306,乐事40g无限嗞嗞烤肉味罐装
6924743918313,乐事40g无限鲜浓番茄味罐装
6924743919211,乐事70g美国经典原味
6924743919228,乐事70g得克萨斯烧烤味
6924743919242,乐事70g墨西哥鸡汁番茄味
6924743919259,乐事70g黄瓜味
6924743919785,乐事40g大波浪薯片（辛辣味）
6924743919778,乐事40g大波浪薯片（碳烤五花肉味）
6924743921948,乐事40g大波浪薯片（真浓番茄味）
6925023803602,湘岳25g鱼豆腐（蟹香味）
6926475201084,喜之郎150g吸果冻
6926475202357,喜之郎7.5g美好时光海苔原味
6926475203705,喜之郎7.5g美好时光海苔（番茄）
6926475204337,喜之郎3g美好时光海苔（原味）1*8
6930763710226,粤秀60g牛肉干(沙嗲)
6930763710233,粤秀60g牛肉干(麻辣)
6933066001312,乖媳妇120g山椒凤爪
6933311066028,傻二哥30g兰花豆（五香味）
6933311066172,傻二哥100g锅巴（香葱味）
6933311066271,傻二哥100g锅巴（麻辣味）
6933311066424,傻二哥30g多味花生（五香味）
6933311067414,傻二哥75g南乳花生（原香味）
6933311067438,傻二哥75g南乳花生（蒜香味）
6934363900056,仙果园70g咖啡猫麻球棒
6935041525387,旺仔125g小馒头（经典原味）
6935284499995,卫龙102g卫龙面筋
6936436912317,杨锝48g碳烧鱿鱼丝
6936436912331,杨锝68g原味鱿鱼丝
6944215406810,永利佳140g乌梅干（红色）
6944215406889,永利佳115g蜂蜜话梅（红色）
6944215409439,永利佳190g九制榄.
6944215409446,永利佳140g冰糖杨梅.
6944215409460,永利佳170g相思梅.
6950520301450,欢享70g炭烧猪肉脯（黑椒味）
6958785400116,黔真安20g五香牛肉
6970482440844,小安喂130g素烧烤羊肉味
6970482440868,小安喂130g素绝味鲍鱼味
6970482440875,小安喂130g素红烧牛肉味
6970482441278,小安喂80g山椒豆干
6925448107347,乐潮树莓味软糖
6925448107323,乐潮脆皮牛奶软糖
2010000000168,老人头吉利糖
2010000000175,青蛙珍果糖
6910289044746,天凤奶瓶软糖
4713120770024,雪球饼干-草莓巧克力
4713120770529,雪球饼干-玉米浓汤
4713120770734,京条酥饼-凤梨酥口味饼干
4713120770680,京条酥饼-咸蛋黄口味饼干
4713120770796,京条酥饼-台湾咖啡口味饼干
6901028000659,双喜(硬经典)
6901028000949,双喜(硬世纪经典)
6901028001625,双喜(硬经典1906)
6901028003599,双喜(经典工坊)
6901028005210,双喜(硬红五叶神)
6901028007955,双喜(龙)
6901028012003,真龙(凌云)
6901028075015,中华(硬)
6901028118828,利群(长嘴)
6901028165952,黄金叶(大M)
6901028180580,黄鹤楼(软蓝)
6901028189989,黄鹤楼(硬嘉禧缘)
6901028191623,芙蓉王(硬闪带细支)
6901028193504,芙蓉王(硬)
6901028193863,芙蓉王(蓝)
6901028208949,黄山(红方印细支)
6901028316866,玉溪(硬)
6901028317177,玉溪(软)
8888075018616,SE555(双冰)
6914597101443,五羊甜筒菠萝味
6914597101412,五羊甜筒巧克力味
6914597101405,五羊甜筒香芋味
6914597101429,五羊甜筒哈密瓜味
6918551812086,五羊甜筒双皮奶味
6918551811966,五羊甜筒榴莲味
6918551812062,五羊甜筒芝士乌龙茶味雪糕
6918551811980,五羊甜筒芒果西柚味雪糕
6907992822747,伊利巧乐兹-巧恋果
6907992822761,伊利巧乐兹-香奶棒
6907992822914,伊利佰豆集-心多多蜜豆
6918551811485,雀巢花心筒香草                                                              
6918551811621,雀巢花心筒蓝莓芝士                                                          
6918551811515,雀巢圣代杯草莓味
6918551811522,雀巢圣代杯巧克力味
6918551810648,雀巢摩爵香草                                
6918551810655,雀巢摩爵巧克力                             
6901285991240,怡宝纯净水350ml
6901285991219,怡宝纯净水555ml
6901285991271,怡宝纯净水1.55L
6901285991530,怡宝纯净水4.5L
6920458834351,午后奶茶巧克力口味500ml
6920458814353,午后奶茶原味奶茶500ml
6920458834870,蜜水柠檬480ml
6925303730574,统一阿萨姆奶茶500ml
6925303781699,煎茶奶绿绿奶茶原味450ml
6925303784683,统一水岩盐芝士奶茶450ml
6925303754952,小茗同学冷泡青柠红茶480ml
6925303755461,小茗同学溜溜哒茶480ml
6925303754884,小茗同学冰橘绿茶480ml
6925303721398,统一柠檬冰红茶500ml
6925303721367,统一茉莉绿茶500ml
6925303723910,统一柠檬冰红茶1000ml
6925303723934,统一茉莉绿茶1000ml
6925303721688,统一柠檬冰红茶2000ml
6925303721671,统一茉莉绿茶2000ml
6925303750275,饮养四季冰糖雪梨500ml
6925303754112,海之言柠檬500ml
6925303721244,多果汁鲜橙汁450ml
6925303770716,酱拌面老坛酸菜
6925303771966,酱拌面卤香牛肉
6925303714093,统一香辣牛肉面桶装
6925303714277,统一精炖排骨面桶装
6925303714086,统一红烧牛肉面桶装
6925303714208,统一泡椒牛肉面桶装
6925303773106,统一老坛酸菜面桶装
6925303773229,统一卤香牛肉面桶装
6925303773243,统一香菇炖鸡面桶装
6925303770563,汤达人日式豚骨拉面杯装
6925303791155,汤达人海鲜拉面杯装
6925303792251,汤达人原盅鸡汤面杯装
6921168509256,农夫山泉饮用天然水550ml
6921168520015,zs农夫山泉饮用天然水1.5L
6921168550111,农夫山泉维他命水热带水果味饮料500ml
6921168550128,农夫山泉维他命水柠檬味饮料500ml
6921168550142,农夫山泉维他命水柑橘味饮料500ml
6921168550098,农夫山泉维他命水蓝莓味饮料500ml
6921168593859,农夫山泉维他命水乳酸菌味饮料500ml
6921168550104,农夫山泉维他命水石榴味饮料500ml
6921168532025,农夫果园30%混合果蔬饮料波芒500ml
6921168532049,农夫果园30%混合果蔬饮料番莓500ml
6921168500956,农夫山泉水溶C100柠檬味饮料445ml
6921168500970,农夫山泉水溶C100西柚味饮料445ml
6921168559244,农夫山泉水溶C100青皮桔味饮料445ml
6921168558025,农夫山泉东方树叶红茶500ml
6921168558032,农夫山泉东方树叶乌龙茶500ml
6921168558049,农夫山泉东方树叶茉莉花茶500ml
6921168558018,农夫山泉东方树叶绿茶500ml
6921168559077,农夫山泉打奶茶红茶320ml
6921168559084,农夫山泉打奶茶抹茶320ml
6921168593637,农夫山泉果味水葡萄530ml
2010000000151,zs农夫山泉饮用天然水550ml
6921168593569,农夫茶π蜜桃乌龙500ml
6921168593583,农夫茶π柠檬红茶500ml
6921168593736,农夫茶π玫瑰荔枝红茶500ml
6921168593576,农夫茶π柚子绿茶500ml
6921168593552,农夫茶π西柚茉莉花茶500ml
6921168504022,尖叫纤维运动装绿色550ml
6921168504015,尖叫多肽运动装蓝色550ml
6920476664305,雪碧330ml
6920476620035,雪碧500ml
6920476664183,可口可乐330ml
6920476610036,可口可乐500ml
6901424333948,王老吉凉茶盒装250ml
6956367338680,王老吉凉茶310ml
6921294389463,康师傅冰糖雪梨500ml
6921294305012,康师傅冰红茶500ml
6921294305166,康师傅蜂蜜绿茶500ml
6902538004052,脉动青柠味600ml
6902538006100,脉动水蜜桃味600ml
6934024590268,佳得乐运动饮料橙味600ml
6934024590367,佳得乐运动饮料柠檬味600ml
4891028706656,维他柠檬茶罐装310ml
4891028705949,维他柠檬茶支装500ml
6956416200067,美汁源果粒橙450ml
6901010117440,健力宝橙味560ML
6923644268480,蒙牛真果粒椰果粒250ml
6923644266066,蒙牛特仑苏纯牛奶250ml
6902083893842,娃哈哈营养快线椰子味500g
6920180209601,屈臣氏苏打水330ml
6957735788861,椰树牌椰子汁245ml
6937761805015,宝矿力500ml
6917878030623,雀巢咖啡丝滑拿铁268ml
6920202888883,红牛罐装250ml
6901010108165,第五季番石榴支装450ml
6901035601870,青岛纯生罐装500ml
6916058680566,百威罐装500ml
721031940102,珠江纯生500ml
6948960100993,哈尔滨罐装500ml
6932512600369,广氏菠萝啤罐装330ml
6931780720885,天地壹号罐装330ml
6970498580244,粉北鼻红豆薏米水320ml
6907878030037,摩登芬达橙味330ml
,儿童泡泡棒
,儿童惯性小号卡通泡泡枪
,儿童电动海豚泡泡枪
,儿童单层发光翅膀3件套
,儿童沙滩桶玩具（8件套）
,儿童沙滩桶玩具（7件套）
,儿童小熊沙滩桶玩具（5件套）
,儿童沙滩挖土机工程车玩具
,儿童闪光跳跳球
,儿童大号双闪弹弓飞箭
,儿童发光拉线飞碟
,一级鱿鱼丝原味100g
,一级鱿鱼丝辣味100g
,即食紫菜100g
,辣白凡鱼100g
